RETAILER_ID,RETAILER,REGION,STATE,CITY
A00MOHCO,Amazon,Midwest,Ohio,Columbus
A00NMAPO,Amazon,Northeast,Maine,Portland
A00NMABO,Amazon,Northeast,Massachusetts,Boston
A00NNEMA,Amazon,Northeast,New Hampshire,Manchester
A00NVEBU,Amazon,Northeast,Vermont,Burlington
A00SALBI,Amazon,South,Alabama,Birmingham
A00SKELO,Amazon,Southeast,Kentucky,Louisville
A00SNOCH,Amazon,Southeast,North Carolina,Charlotte
A00WALAN,Amazon,West,Alaska,Anchorage
F00MILCH,Foot Locker,Midwest,Illinois,Chicago
F00MIODE,Foot Locker,Midwest,Iowa,Des Moines
F00MKAWI,Foot Locker,Midwest,Kansas,Wichita
F00MMIDE,Foot Locker,Midwest,Michigan,Detroit
F00MMIMI,Foot Locker,Midwest,Minnesota,Minneapolis
F00MMIST,Foot Locker,Midwest,Missouri,St. Louis
F00MNEOM,Foot Locker,Midwest,Nebraska,Omaha
F00MNOFA,Foot Locker,Midwest,North Dakota,Fargo
F00MSOSI,Foot Locker,Midwest,South Dakota,Sioux Falls
F00NCOHA,Foot Locker,Northeast,Connecticut,Hartford
F00NDEWI,Foot Locker,Northeast,Delaware,Wilmington
F00NMABA,Foot Locker,Northeast,Maryland,Baltimore
F00NNEMA,Foot Locker,Northeast,New Hampshire,Manchester
F00NNENE,Foot Locker,Northeast,New York,New York
F00NPEPH,Foot Locker,Northeast,Pennsylvania,Philadelphia
F00NRHPR,Foot Locker,Northeast,Rhode Island,Providence
F00NWECH,Foot Locker,Northeast,West Virginia,Charleston
F00SLONE,Foot Locker,South,Louisiana,New Orleans
F00SMIJA,Foot Locker,South,Mississippi,Jackson
F00STEKN,Foot Locker,South,Tennessee,Knoxville
F00STEDA,Foot Locker,South,Texas,Dallas
F00SFLMI,Foot Locker,Southeast,Florida,Miami
F00SGEAT,Foot Locker,Southeast,Georgia,Atlanta
F00SKELO,Foot Locker,Southeast,Kentucky,Louisville
F00SSOCH,Foot Locker,Southeast,South Carolina,Charleston
