ORDER_ID,RETAILER_ID,INVOICE_DATE,MONTH,DAY,YEAR,PRODUCT_ID,PRICE_PER_UNIT,UNITS_SOLD,OPERATING_MARGIN,SALES_METHOD
0001,A00MOHCO,1/1/2020,01,01,2020,020,50,1200,0.5,In-store
0007,A00MOHCO,1/7/2020,01,07,2020,020,50,1250,0.5,In-store
0013,A00MOHCO,1/25/2020,01,25,2020,020,50,1220,0.5,Outlet
0019,A00MOHCO,1/31/2020,01,31,2020,020,50,1200,0.5,Outlet
0025,A00MOHCO,2/6/2020,02,06,2020,020,60,1220,0.5,Outlet
0031,A00MOHCO,3/4/2020,03,04,2020,020,60,1250,0.5,Outlet
0037,A00MOHCO,3/10/2020,03,10,2020,020,60,1275,0.5,Outlet
0043,A00MOHCO,3/16/2020,03,16,2020,020,60,1250,0.5,Outlet
0049,A00MOHCO,4/19/2020,04,19,2020,020,60,1200,0.5,Outlet
0057,A00MOHCO,4/27/2020,04,27,2020,020,65,1150,0.5,Outlet
0063,A00MOHCO,5/3/2020,05,03,2020,020,65,1200,0.5,Outlet
0069,A00MOHCO,7/19/2020,07,19,2020,020,25,900,0.35,Outlet
0075,A00MOHCO,7/25/2020,07,25,2020,020,25,850,0.35,Outlet
0081,A00MOHCO,7/31/2020,07,31,2020,020,30,875,0.35,Outlet
0087,A00MOHCO,8/6/2020,08,06,2020,020,30,900,0.35,Outlet
0093,A00MOHCO,8/12/2020,08,12,2020,020,30,925,0.35,Outlet
0099,A00MOHCO,8/18/2020,08,18,2020,020,40,950,0.35,Outlet
0105,A00MOHCO,8/24/2020,08,24,2020,020,40,950,0.35,Outlet
0111,A00MOHCO,8/30/2020,08,30,2020,020,40,925,0.35,Outlet
0117,A00MOHCO,9/5/2020,09,05,2020,020,45,850,0.35,Outlet
0123,A00MOHCO,9/11/2020,09,11,2020,020,45,800,0.35,Outlet
0129,A00MOHCO,10/20/2020,10,20,2020,020,45,900,0.35,Outlet
0135,A00MOHCO,10/26/2020,10,26,2020,020,45,950,0.35,Outlet
0141,A00NMAPO,11/1/2020,11,01,2020,020,40,775,0.35,Outlet
0147,A00NMAPO,11/7/2020,11,07,2020,020,40,825,0.35,Outlet
0153,A00NMAPO,11/13/2020,11,13,2020,020,50,850,0.35,Outlet
0159,A00NMAPO,12/25/2020,12,25,2020,020,60,875,0.35,Outlet
0165,A00NMAPO,12/31/2020,12,31,2020,020,60,900,0.4,Outlet
0171,A00NMAPO,1/6/2021,01,06,2021,020,60,975,0.4,Outlet
0177,A00NMAPO,1/12/2021,01,12,2021,020,60,1025,0.35,Outlet
0183,A00NMAPO,1/18/2021,01,18,2021,020,65,975,0.35,Outlet
0189,A00NMAPO,1/24/2021,01,24,2021,020,55,925,0.3,Outlet
0195,A00NMAPO,1/30/2021,01,30,2021,020,55,875,0.3,Outlet
0201,A00NMAPO,2/5/2021,02,05,2021,020,55,875,0.3,Outlet
0207,A00NMAPO,2/11/2021,02,11,2021,020,55,975,0.3,Outlet
0213,A00NMAPO,2/17/2021,02,17,2021,020,35,700,0.4,Outlet
0219,A00NMAPO,3/13/2021,03,13,2021,020,35,750,0.4,Outlet
0225,A00NMAPO,3/19/2021,03,19,2021,020,35,800,0.4,Outlet
0231,A00NMAPO,4/7/2021,04,07,2021,020,45,800,0.4,Outlet
0237,A00NMAPO,4/13/2021,04,13,2021,020,45,800,0.4,Outlet
0243,A00NMAPO,4/19/2021,04,19,2021,020,45,900,0.4,Outlet
0249,A00NMAPO,4/25/2021,04,25,2021,020,45,950,0.4,Outlet
0255,A00NMAPO,5/1/2021,05,01,2021,020,50,900,0.4,Outlet
0261,A00NMAPO,5/7/2021,05,07,2021,020,50,850,0.4,Outlet
0267,A00NMAPO,5/13/2021,05,13,2021,020,50,800,0.4,Outlet
0273,A00NMABO,5/19/2021,05,19,2021,020,50,825,0.4,Outlet
0279,A00NMABO,5/25/2021,05,25,2021,020,50,900,0.4,Outlet
0285,A00NMABO,5/31/2021,05,31,2021,020,45,475,0.4,Outlet
0291,A00NMABO,6/6/2021,06,06,2021,020,45,525,0.4,Outlet
0297,A00NMABO,6/12/2021,06,12,2021,020,50,495,0.4,Outlet
0303,A00NMABO,6/18/2021,06,18,2021,020,50,450,0.4,Outlet
0309,A00NMABO,6/24/2021,06,24,2021,020,60,495,0.4,Outlet
0315,A00NMABO,6/30/2021,06,30,2021,020,50,500,0.4,Outlet
0321,A00NMABO,7/6/2021,07,06,2021,020,50,575,0.4,Outlet
0327,A00NMABO,7/12/2021,07,12,2021,020,50,550,0.4,Outlet
0333,A00NMABO,7/18/2021,07,18,2021,020,50,500,0.4,Outlet
0339,A00NNEMA,7/24/2021,07,24,2021,020,60,425,0.4,Outlet
0345,A00NNEMA,7/30/2021,07,30,2021,020,60,400,0.4,Outlet
0351,A00NNEMA,8/5/2021,08,05,2021,020,60,500,0.4,Outlet
0357,A00NNEMA,8/11/2021,08,11,2021,020,20,725,0.3,Outlet
0363,A00NNEMA,8/17/2021,08,17,2021,020,25,675,0.3,Outlet
0369,A00NNEMA,8/23/2021,08,23,2021,020,30,675,0.35,Outlet
0375,A00NNEMA,8/29/2021,08,29,2021,020,20,700,0.35,Outlet
0381,A00NNEMA,9/4/2021,09,04,2021,020,20,750,0.35,Outlet
0387,A00NNEMA,9/10/2021,09,10,2021,020,45,800,0.35,Outlet
0393,A00NNEMA,9/16/2021,09,16,2021,020,45,825,0.4,Outlet
0399,A00NNEMA,9/22/2021,09,22,2021,020,50,800,0.4,Outlet
0405,A00NNEMA,9/28/2021,09,28,2021,020,55,725,0.4,Outlet
0411,A00NNEMA,10/4/2021,10,04,2021,020,40,625,0.4,Outlet
0417,A00NNEMA,10/10/2021,10,10,2021,020,40,725,0.4,Outlet
0423,A00NNEMA,10/16/2021,10,16,2021,020,60,825,0.4,Outlet
0429,A00NNEMA,10/22/2021,10,22,2021,020,45,425,0.55,Outlet
0435,A00NNEMA,10/28/2021,10,28,2021,020,45,475,0.55,Outlet
0441,A00NNEMA,11/3/2021,11,03,2021,020,50,445,0.55,Outlet
0447,A00NNEMA,11/9/2021,11,09,2021,020,50,450,0.5,Outlet
0453,A00NNEMA,11/15/2021,11,15,2021,020,60,470,0.5,Outlet
0459,A00NNEMA,11/21/2021,11,21,2021,020,65,500,0.55,Outlet
0465,A00NNEMA,11/27/2021,11,27,2021,020,65,500,0.55,Outlet
0471,A00NNEMA,12/3/2021,12,03,2021,020,65,525,0.55,Outlet
0477,A00NVEBU,12/9/2021,12,09,2021,020,65,475,0.5,Outlet
0483,A00NVEBU,12/15/2021,12,15,2021,020,60,400,0.5,Outlet
0489,A00NVEBU,12/21/2021,12,21,2021,020,70,375,0.55,Outlet
0495,A00NVEBU,12/27/2021,12,27,2021,020,70,475,0.55,Outlet
0501,A00NVEBU,1/2/2020,01,02,2020,020,35,450,0.4,Outlet
0507,A00NVEBU,1/8/2020,01,08,2020,020,35,525,0.4,Outlet
0513,A00NVEBU,1/14/2020,01,14,2020,020,45,550,0.4,Outlet
0519,A00NVEBU,1/20/2020,01,20,2020,020,60,550,0.4,Outlet
0525,A00NVEBU,1/26/2020,01,26,2020,020,60,550,0.45,Outlet
0531,A00NVEBU,2/1/2020,02,01,2020,020,60,700,0.45,Outlet
0537,A00NVEBU,2/7/2020,02,07,2020,020,60,750,0.4,Outlet
0543,A00NVEBU,2/13/2020,02,13,2020,020,65,700,0.4,In-store
0549,A00NVEBU,2/19/2020,02,19,2020,020,60,600,0.35,In-store
0555,A00NVEBU,2/25/2020,02,25,2020,020,60,550,0.35,In-store
0561,A00NVEBU,3/3/2020,03,03,2020,020,60,575,0.35,In-store
0567,A00NVEBU,3/9/2020,03,09,2020,020,60,675,0.35,In-store
0573,A00NVEBU,3/15/2020,03,15,2020,020,30,425,0.35,In-store
0579,A00NVEBU,3/21/2020,03,21,2020,020,30,525,0.35,In-store
0585,A00NVEBU,3/27/2020,03,27,2020,020,40,550,0.35,In-store
0591,A00NVEBU,4/2/2020,04,02,2020,020,,525,0.35,In-store
0597,A00NVEBU,4/8/2020,04,08,2020,020,,525,0.5,In-store
0603,A00NVEBU,4/14/2020,04,14,2020,020,60,725,0.5,In-store
0609,A00NVEBU,4/20/2020,04,20,2020,020,65,775,0.45,In-store
0615,A00NVEBU,4/26/2020,04,26,2020,020,70,725,0.45,In-store
0621,A00NVEBU,5/2/2020,05,02,2020,020,65,600,0.4,In-store
0627,A00NVEBU,5/8/2020,05,08,2020,020,55,525,0.4,In-store
0633,A00NVEBU,5/14/2020,05,14,2020,020,55,575,0.4,In-store
0639,A00NVEBU,5/20/2020,05,20,2020,020,65,700,0.4,In-store
0645,A00NVEBU,5/26/2020,05,26,2020,020,40,450,0.3,In-store
0651,A00NVEBU,6/1/2020,06,01,2020,020,40,550,0.3,In-store
0657,A00NVEBU,6/7/2020,06,07,2020,020,50,575,0.3,In-store
0663,A00NVEBU,6/13/2020,06,13,2020,020,70,550,0.3,In-store
0669,A00NVEBU,6/19/2020,06,19,2020,020,60,550,0.3,In-store
0675,A00NVEBU,6/25/2020,06,25,2020,020,75,750,0.3,In-store
0681,A00SALBI,7/1/2020,07,01,2020,020,80,825,0.3,In-store
0687,A00SALBI,7/7/2020,07,07,2020,020,85,775,0.3,In-store
0693,A00SKELO,7/13/2020,07,13,2020,020,70,600,0.3,In-store
0699,A00SKELO,7/19/2020,07,19,2020,020,60,550,0.3,In-store
0705,A00SKELO,7/25/2020,07,25,2020,020,60,600,0.3,In-store
0711,A00SKELO,7/31/2020,07,31,2020,020,80,750,0.3,In-store
0717,A00SKELO,8/6/2020,08,06,2020,020,45,1050,0.45,In-store
0723,A00SKELO,8/12/2020,08,12,2020,020,45,1100,0.45,In-store
0729,A00SKELO,8/18/2020,08,18,2020,020,45,1070,0.45,In-store
0735,A00SKELO,4/24/2020,04,24,2020,020,45,1025,0.45,In-store
0741,A00SKELO,4/24/2020,04,24,2020,020,55,1070,0.45,In-store
0747,A00SKELO,4/24/2020,04,24,2020,020,60,1075,0.45,In-store
0753,A00SKELO,9/11/2020,09,11,2020,020,65,1150,0.45,In-store
0759,A00SKELO,9/17/2020,09,17,2020,020,65,1125,0.45,In-store
0765,A00SKELO,9/23/2020,09,23,2020,020,55,1050,0.45,In-store
0771,A00SKELO,9/29/2020,09,29,2020,020,60,1000,0.45,In-store
0777,A00SKELO,10/5/2020,10,05,2020,020,60,975,0.45,In-store
0783,A00SKELO,5/24/2020,05,24,2020,020,65,1075,0.45,In-store
0789,A00SKELO,10/17/2020,10,17,2020,020,35,450,0.35,In-store
0795,A00SKELO,10/23/2020,10,23,2020,020,35,500,0.35,In-store
0801,A00SNOCH,10/29/2020,10,29,2020,020,40,445,0.35,In-store
0807,A00SNOCH,11/4/2020,11,04,2020,020,40,400,0.35,In-store
0813,A00SNOCH,11/10/2020,11,10,2020,020,50,445,0.35,In-store
0819,A00SNOCH,11/16/2020,11,16,2020,020,45,425,0.35,Ootlet
0825,A00WALAN,11/22/2020,11,22,2020,020,50,550,0.35,Ootlet
0831,A00WALAN,11/28/2020,11,28,2020,020,50,525,0.35,Ootlet
0837,A00WALAN,12/4/2020,12,04,2020,020,45,450,0.35,Ootlet
0843,A00WALAN,12/10/2020,12,10,2020,020,45,375,0.35,Ootlet
0849,A00WALAN,12/16/2020,12,16,2020,020,50,350,0.35,Ootlet
0855,A00WALAN,12/22/2020,12,22,2020,020,55,475,0.35,Ootlet
0861,A00WALAN,12/28/2020,12,28,2020,020,35,475,0.45,Ootlet
0867,A00WALAN,1/3/2021,01,03,2021,020,35,525,0.45,Ootlet
0873,A00WALAN,1/9/2021,01,09,2021,020,35,575,0.45,Ootlet
0879,A00WALAN,1/15/2021,01,15,2021,020,45,575,0.45,Ootlet
0885,A00WALAN,1/21/2021,01,21,2021,020,40,575,0.45,Ootlet
0891,A00WALAN,1/27/2021,01,27,2021,020,40,675,0.45,Ootlet
0897,A00WALAN,2/2/2021,02,02,2021,020,40,750,0.45,Ootlet
0903,A00WALAN,2/8/2021,02,08,2021,020,45,675,0.45,Ootlet
0909,A00WALAN,2/14/2021,02,14,2021,020,45,600,0.45,Ootlet
0915,A00WALAN,2/20/2021,02,20,2021,020,45,550,0.45,Ootlet
0921,A00WALAN,2/26/2021,02,26,2021,020,40,575,0.45,Ootlet
0927,A00WALAN,3/4/2021,03,04,2021,020,45,675,0.45,Ootlet
0933,A00WALAN,3/10/2021,03,10,2021,020,20,700,0.35,Ootlet
0939,A00WALAN,3/16/2021,03,16,2021,020,25,650,0.35,Outlet
0945,A00WALAN,3/22/2021,03,22,2021,020,30,650,0.4,Outlet
0951,F00SLONE,3/28/2021,03,28,2021,020,20,675,0.4,Outlet
0957,F00SLONE,4/3/2021,04,03,2021,020,15,725,0.4,Outlet
0963,F00SGEAT,4/9/2021,04,09,2021,020,40,775,0.4,Outlet
0969,F00SGEAT,4/15/2021,04,15,2021,020,40,825,0.45,Outlet
0975,F00SVIRI,4/21/2021,04,21,2021,020,45,775,0.45,Outlet
0981,F00SVIRI,4/27/2021,04,27,2021,020,50,675,0.45,Outlet
0987,F00SVIRI,5/3/2021,05,03,2021,020,35,575,0.45,Outlet
0993,F00SVIRI,5/9/2021,05,09,2021,020,30,675,0.45,Outlet
0999,F00SVIRI,5/15/2021,05,15,2021,020,55,800,0.45,Outlet
1005,F00SVIRI,5/21/2021,05,21,2021,020,35,425,0.4,Outlet
1011,F00SVIRI,5/27/2021,05,27,2021,020,35,475,0.4,Outlet
1017,F00SVIRI,6/2/2021,06,02,2021,020,40,420,0.4,Outlet
1023,F00SVIRI,6/8/2021,06,08,2021,020,40,375,0.4,Outlet
1029,F00SVIRI,6/14/2021,06,14,2021,020,45,420,0.4,Outlet
1035,F00SVIRI,6/20/2021,06,20,2021,020,40,400,0.4,Outlet
1041,F00SVIRI,6/26/2021,06,26,2021,020,45,550,0.4,Outlet
1047,F00SVIRI,7/2/2021,07,02,2021,020,45,500,0.4,Outlet
1053,F00SVIRI,7/8/2021,07,08,2021,020,40,400,0.4,Outlet
1059,F00SVIRI,7/14/2021,07,14,2021,020,40,325,0.4,Outlet
1065,F00SVIRI,7/20/2021,07,20,2021,020,40,300,0.4,Outlet
1071,F00SVIRI,7/26/2021,07,26,2021,020,50,450,0.4,Outlet
1077,F00SVIRI,8/1/2021,08,01,2021,020,20,675,0.4,Outlet
1083,F00SVIRI,8/7/2021,08,07,2021,020,25,625,0.4,Outlet
1089,F00SVIRI,8/13/2021,08,13,2021,020,30,625,0.45,Outlet
1095,F00SVIRI,8/19/2021,08,19,2021,020,20,650,0.45,Outlet
1101,F00SVIRI,8/25/2021,08,25,2021,020,10,700,0.45,Outlet
1107,F00SVIRI,8/31/2021,08,31,2021,020,45,750,0.45,Outlet
1113,F00SVIRI,9/6/2021,09,06,2021,020,45,825,0.5,Outlet
1119,F00SVIRI,9/12/2021,09,12,2021,020,40,750,0.5,Outlet
1125,F00SVIRI,9/18/2021,09,18,2021,020,55,625,0.5,Outlet
1131,F00SVIRI,9/24/2021,09,24,2021,020,30,525,0.5,Outlet
1137,F00SVIRI,9/30/2021,09,30,2021,020,20,625,0.5,Outlet
1143,F00SVIRI,10/6/2021,10,06,2021,020,60,775,0.5,Outlet
1149,F00SVIRI,10/12/2021,10,12,2021,020,40,450,0.35,Outlet
1155,F00WALAN,10/18/2021,10,18,2021,020,40,500,0.35,Outlet
1161,F00WALAN,10/24/2021,10,24,2021,020,40,470,0.35,Outlet
1167,F00WALAN,10/30/2021,10,30,2021,020,40,450,0.35,Outlet
1173,F00WARPH,11/5/2021,11,05,2021,020,55,495,0.35,Outlet
1179,F00WARPH,11/11/2021,11,11,2021,020,55,525,0.35,Outlet
1185,F00WARPH,11/17/2021,11,17,2021,020,55,550,0.35,Outlet
